0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:03:13 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:03:20 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:03:20 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:08:33 +0530] "GET /Application/Admin/Reportpiuinitiate.jsp HTTP/1.1" 200 35112
0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:08:33 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:08:34 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:08:34 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:08:34 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:08:40 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:08:40 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:14:58 +0530] "GET /Application/Admin/Reportpiuinitiate.jsp HTTP/1.1" 200 35112
0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:14:58 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:14:58 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:14:59 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:14:59 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:15:03 +0530] "GET /Application/Admin/Reportpiuinitiate.jsp HTTP/1.1" 200 35112
0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:15:03 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
